,id,name,winningTeam,Map.fileName,Map.scriptName,durationMs,startTime
0,c4fba1640df15ffb2dcea5093ec548e0,Flash,False,ice_scream_v2.5,Ice Scream v2.5,773200,2023-07-02T22:35:48.000Z
1,4df4a16411d11504ad0aacf70ece06d0,Flash,False,forge_v1.4,Forge v1.4,1384900,2023-07-02T22:03:57.000Z
2,2beea1640ca3b602a92ff80fe15ab8ed,Flash,False,hades_ponds_0.7,Hades Ponds 0.7,1184267,2023-07-02T21:37:47.000Z
3,bfe8a1642d20f9626bc14c3a2cd393f2,Flash,True,bismuth_valley_v2.2,Bismuth Valley v2.2,926467,2023-07-02T21:14:39.000Z
4,f7e1a1644759a2a4966e9f88a39bd2e3,Flash,False,koom_valley_3_3.1,Koom Valley 3 3.1,1164867,2023-07-02T20:45:43.000Z
5,0fbca164bc08f64ca0aa67d41f2cb5f6,Flash,True,Rosetta1.4,Rosetta 1.4,2825267,2023-07-02T18:03:59.000Z
6,cdb1a164fb109fa3cb5fc14c51a5facc,Flash,False,koom_valley_3_3.1,Koom Valley 3 3.1,2130834,2023-07-02T17:20:13.000Z
7,02a8a164f835682e814518cde188355d,Flash,True,flats_and_forests_v2.1,Flats and Forests v2.1,2002067,2023-07-02T16:38:26.000Z
8,e492a164f9398c3037d41ac8338c9f68,Flash,False,koom_valley_3_3.1,Koom Valley 3 3.1,2667033,2023-07-02T15:08:20.000Z
9,5088a1645d9842a6b94246c0634de77e,Flash,False,supreme_strait_v1.4,Supreme Strait v1.4,2218567,2023-07-02T14:23:12.000Z
10,faa2a0641089ea5ce5d080a025139269,Flash,False,dsdr_4.1,DSDR 4.1,2521067,2023-07-01T22:04:42.000Z
11,339da064d483a6ce6466bb780c22ef0e,Flash,False,koom_valley_3_3.1,Koom Valley 3 3.1,1034700,2023-07-01T21:40:03.000Z
12,e496a064c16a7bba1973cd43cfd7ebc4,Flash,True,forge_v1.4,Forge v1.4,1049600,2023-07-01T21:13:08.000Z
13,0490a064eb296cffe355df2caa22c6cf,Flash,False,bismuth_valley_v2.2,Bismuth Valley v2.2,1186400,2023-07-01T20:43:48.000Z
14,a989a064b9df73235fdbb8074c2ba057,Flash,True,dsdr_4.1,DSDR 4.1,1103733,2023-07-01T20:16:41.000Z
15,21689f64e7e82926f7525a29b5b01f67,Flash,True,koom_valley_3_3.1,Koom Valley 3 3.1,2162000,2023-06-30T23:41:21.000Z
